Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,City,Kind,Postal code,Public name,Station type,Status,year,month,day,hour,minute
23 rue des Bernardins,0,0,0,0,Paris,STATION,75005,Paris/Bernardins/23,station,ok,2018,4,2,2,41
1 avenue Dutuit,0,0,0,0,Paris,STATION,75008,Paris/Dutuit/1,station,ok,2018,4,8,2,0
1 rue des Nonnains d'Hy̬res,0,0,0,0,Paris,STATION,75004,Paris/Nonnains d'Hy̬res/1,station,ok,2018,4,2,2,49
5 bis Rue du Capitaine Ferber,4,4,0,1,Paris,STATION,75020,Paris/Capitaine Ferber/5,station,ok,2018,4,5,6,18
135 avenue de Verdun,2,2,0,0,Issy-les-Moulineaux,STATION,92130,Issy-les-Moulineaux/Verdun/135,station,ok,2018,4,8,17,28
2 rue Sibour,0,0,0,0,Paris,STATION,75010,Paris/Sibour/2,station,ok,2018,4,8,8,51
77 Rue Jean Bleuzen,2,2,0,1,Vanves,SPACE,92170,Vanves/Jean Bleuzen/77,full_station,ok,2018,4,7,11,18
12 rue Henri Sainte-Claire D̩ville,2,2,0,0,Rueil-Malmaison,STATION,92500,Rueil-Malmaison/Henri Sainte-Claire D̩ville/12,station,ok,2018,4,2,20,39
31 Bis Rue du Faubourg Montmartre,0,0,0,0,Paris,STATION,75009,Paris/Montmartre/31,station,ok,2018,4,9,23,58
22 rue de Lorraine,4,4,0,0,Paris,STATION,75019,Paris/Lorraine/22,station,ok,2018,4,6,8,12
79 rue du Chevaleret,1,1,0,0,Paris,STATION,75013,Paris/Chevaleret/79,station,ok,2018,4,6,1,51
2 rue Paul Dautier,2,2,0,0,V̩lizy-Villacoublay,STATION,78140,V̩lizy-Villacoublay/Paul Dautier/2,station,ok,2018,4,4,22,53
60 Avenue Victor Hugo,3,3,0,0,Paris,SPACE,75016,Paris/Victor Hugo/60,full_station,ok,2018,4,2,4,28
